alpha,beta,gamma,n_a,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.3,0.4,0.1,500,73,73,ok,20,2,22,14,75.3368,0.23287241,0.63636364,0.09090909,5.3937535
0.3,0.7,0.1,200,6,6,capped,55890,104,55994,1042,2787.6713,1.7556035,0.01860914,0.00185734,574.79816759
0.6,0.6,0.1,1000,1,1,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.3,0.8,0.1,1000,38,38,capped,59310,161,59471,468,4271.5284,2.44453519,0.00786938,0.0027072,592.54700501
0.3,0.5,0.1,500,98,98,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.6,0.8,-0.1,500,24,24,capped,55339,38,55377,1647,3058.6864,1.03562719,0.02974159,0.00068621,576.1294072
0.5,0.7,0.0,200,64,64,ok,0,0,0,0,1.2242,0.0,0.0,0.0,1.0
0.4,0.6,0.1,500,35,35,ok,0,0,0,0,0.7637,0.0,0.0,0.0,1.0
0.5,0.6,0.1,200,5,5,ok,61,0,61,24,111.4877,0.44124638,0.39344262,0.0,8.30965975
0.7,0.8,-0.1,1000,78,78,ok,29118,11,29129,3120,2579.255,0.35059958,0.10710975,0.00037763,403.50224878
0.3,0.8,0.0,200,99,99,capped,58399,81,58480,455,3036.6411,3.46512544,0.00778044,0.00138509,585.12171235
0.5,0.6,0.1,500,19,19,ok,207,4,211,54,262.8191,0.51143758,0.25592417,0.01895735,17.45481783
0.5,0.6,-0.1,200,98,98,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.6,0.6,0.1,500,55,55,ok,149,4,153,78,353.9404,0.23650271,0.50980392,0.02614379,17.05548151
0.4,0.8,0.1,200,28,28,ok,0,0,0,0,0.6114,0.0,0.0,0.0,1.0
0.6,0.6,0.0,1000,97,97,ok,0,0,0,0,2.1097,0.0,0.0,0.0,1.0
0.7,0.5,0.0,500,72,72,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.3,0.7,0.1,500,48,48,ok,502,17,519,71,344.3603,0.85250028,0.13680154,0.0327553,29.17883297
0.6,0.4,0.1,1000,27,27,ok,0,0,0,0,0.9176,0.0,0.0,0.0,1.0
0.6,0.6,0.1,200,90,90,ok,85,0,85,26,161.1832,0.41853196,0.30588235,0.0,9.71533091
0.5,0.8,-0.1,1000,25,25,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.6,0.4,0.0,200,29,29,ok,0,0,0,0,0.7585,0.0,0.0,0.0,1.0
0.6,0.6,-0.1,200,22,22,ok,168,0,168,70,357.8157,0.27618552,0.41666667,0.0,16.59898211
0.4,0.5,0.1,1000,14,14,ok,0,0,0,0,2.2778,0.0,0.0,0.0,1.0
0.3,0.8,0.1,500,35,35,ok,0,0,0,0,0.7637,0.0,0.0,0.0,1.0
0.6,0.8,0.1,500,34,34,ok,35796,12,35808,2446,2378.0184,0.59123603,0.06830876,0.00033512,446.78982664
0.6,0.7,0.1,500,15,15,ok,618,23,641,222,1018.9182,0.188362,0.34633385,0.03588144,39.90026342
0.5,0.7,0.0,1000,97,97,ok,0,0,0,0,2.1097,0.0,0.0,0.0,1.0
0.4,0.6,0.0,200,17,17,ok,32645,31,32676,2292,2000.4204,0.68223535,0.07014322,0.00094871,421.32178458
0.4,0.6,0.0,200,43,43,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.5,0.8,0.1,200,52,52,ok,32158,8,32166,1845,1665.3233,0.99282082,0.0573587,0.00024871,411.65744652
0.6,0.7,0.0,200,43,43,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.6,0.7,0.0,500,76,76,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.6,0.8,0.1,500,14,14,ok,26352,9,26361,2156,1769.394,0.66016112,0.08178749,0.00034141,368.86919198
0.3,0.8,0.1,1000,59,59,capped,56565,190,56755,679,3793.7555,1.91399585,0.0119637,0.00334772,577.06767945
0.3,0.7,0.1,200,81,81,capped,58686,78,58764,1356,3349.0315,1.20352164,0.02307535,0.00132734,595.88921424
0.6,0.7,0.0,200,62,62,ok,0,0,0,0,1.6465,0.0,0.0,0.0,1.0
0.6,0.7,-0.1,500,44,44,ok,600,13,613,142,648.7011,0.3822005,0.23164763,0.02120718,34.92863222
0.3,0.7,0.1,500,84,84,capped,61653,83,61736,592,3285.0313,2.7121182,0.00958922,0.00134443,607.70775392
0.6,0.6,0.1,1000,53,53,ok,65,0,65,21,135.6961,0.39587726,0.32307692,0.0,8.23129676
0.7,0.5,0.0,1000,25,25,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.3,0.4,0.0,500,18,18,ok,0,0,0,0,1.3451,0.0,0.0,0.0,1.0
0.3,0.7,0.1,500,24,24,ok,0,0,0,1,1.8674,0.0,0.0,0.0,1.0
0.6,0.7,0.0,500,40,40,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.3,0.7,-0.1,200,90,90,ok,31952,31,31983,1899,1699.7972,0.94034698,0.05937529,0.00096926,411.17273471
0.7,0.8,-0.1,1000,88,88,ok,10588,9,10597,2295,2036.8253,0.21704742,0.21657073,0.0008493,226.0661827
0.6,0.7,0.1,1000,62,62,ok,0,0,0,0,1.6465,0.0,0.0,0.0,1.0
0.4,0.6,0.0,1000,29,29,ok,657,66,723,176,957.7243,0.24855116,0.24343015,0.09128631,42.06554878
0.5,0.4,0.0,200,37,37,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.4,0.5,0.1,500,18,18,ok,0,0,0,0,1.3451,0.0,0.0,0.0,1.0
0.7,0.5,0.0,500,37,37,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.4,0.6,-0.1,200,76,76,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.3,0.8,0.1,500,81,81,capped,57049,69,57118,678,4080.0958,1.7972069,0.01187016,0.00120803,578.23632094
0.3,0.5,-0.1,1000,95,95,ok,88,7,95,23,138.9544,0.51487924,0.24210526,0.07368421,10.68542087
0.5,0.7,-0.1,1000,5,5,ok,700,21,721,176,764.1477,0.33190337,0.24410541,0.02912621,39.61779093
0.7,0.5,0.1,1000,28,28,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.4,0.5,0.1,200,71,71,ok,6,0,6,4,23.0136,0.25068763,0.66666667,0.0,2.11782714
0.3,0.8,-0.1,200,16,16,capped,56118,57,56175,732,3141.1986,2.14725421,0.01303071,0.00101469,572.39966894
0.3,0.4,0.1,200,21,21,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.6,0.5,-0.1,500,81,81,ok,0,0,0,4,25.5463,0.0,0.0,0.0,1.0
0.5,0.8,0.0,200,44,44,capped,59297,16,59313,1185,3221.5756,1.43238996,0.01997876,0.00026976,597.14864599
0.5,0.8,0.1,1000,19,19,capped,58038,34,58072,1063,3970.731,1.25678867,0.01830486,0.00058548,588.00921229
0.3,0.4,-0.1,200,27,27,ok,0,1,1,1,9.8861,0.0,1.0,1.0,4.0
0.4,0.4,-0.1,500,81,81,ok,17,0,17,5,46.5405,0.3478795,0.29411765,0.0,3.29266313
0.6,0.6,-0.1,200,58,58,ok,0,0,0,0,0.7633,0.0,0.0,0.0,1.0
0.5,0.6,0.0,200,49,49,ok,0,0,0,0,2.6442,0.0,0.0,0.0,1.0
0.3,0.4,0.1,200,95,95,ok,9,2,11,4,54.5693,0.15858446,0.36363636,0.18181818,3.06750509
0.4,0.7,0.0,200,87,87,ok,40704,46,40750,1716,1881.0006,1.19160501,0.04211043,0.00112883,475.44072725
0.4,0.5,0.1,1000,19,19,ok,0,0,0,0,5.9064,0.0,0.0,0.0,1.0
0.4,0.7,0.1,200,86,86,capped,56446,43,56489,1043,2953.3072,1.67216189,0.01846377,0.00076121,577.46575357
0.3,0.5,0.0,500,62,62,ok,34,7,41,8,71.3031,0.44151614,0.19512195,0.17073171,6.40225698
0.4,0.7,-0.1,500,89,89,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.3,0.4,-0.1,1000,24,24,ok,0,0,0,0,1.8674,0.0,0.0,0.0,1.0
0.7,0.4,0.1,1000,35,35,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.4,0.8,0.0,500,31,31,capped,55130,59,55189,571,3169.9526,2.59186693,0.01034626,0.00106905,564.21360391
0.4,0.7,0.1,200,48,48,ok,0,0,0,0,1.4924,0.0,0.0,0.0,1.0
0.5,0.7,0.0,1000,16,16,ok,0,0,0,0,1.0699,0.0,0.0,0.0,1.0
0.6,0.8,0.1,200,24,24,capped,55951,7,55958,2847,2887.5937,0.65749375,0.05087744,0.00012509,591.72798745
0.7,0.4,-0.1,1000,58,58,ok,0,0,0,0,0.7633,0.0,0.0,0.0,1.0
0.6,0.4,0.0,1000,22,22,ok,0,0,0,0,1.1953,0.0,0.0,0.0,1.0
0.7,0.5,0.0,200,94,94,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.4,0.7,0.0,200,92,92,ok,31942,13,31955,1379,1804.6316,1.19675531,0.04315444,0.00040682,404.41326808
0.3,0.7,0.1,200,50,50,capped,60356,66,60422,1404,3528.3011,1.13738363,0.02323657,0.00109232,606.99881002
0.7,0.5,0.0,200,20,20,ok,0,0,0,0,0.7683,0.0,0.0,0.0,1.0
0.6,0.4,0.0,1000,21,21,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.5,0.7,0.1,500,57,57,capped,55948,19,55967,2171,3333.7345,0.73898636,0.03879072,0.00033949,585.11030966
0.4,0.7,0.1,200,20,20,ok,12580,9,12589,1617,741.6237,0.98793128,0.12844547,0.00071491,235.17583613
0.3,0.7,-0.1,500,69,69,ok,0,0,0,0,2.8032,0.0,0.0,0.0,1.0
0.3,0.8,0.0,1000,84,84,capped,58685,180,58865,463,3915.969,2.66182481,0.00786545,0.00305784,588.71833871
0.7,0.7,-0.1,500,48,48,ok,512,2,514,196,826.5533,0.20927019,0.38132296,0.00389105,34.2424491
0.7,0.4,0.1,1000,75,75,ok,0,0,0,1,3.9955,0.0,0.0,0.0,1.0
0.7,0.4,0.1,500,52,52,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.7,0.8,0.1,500,12,12,ok,25430,3,25433,3435,1741.2078,0.41314865,0.13506075,0.00011796,377.81249638
0.5,0.4,-0.1,200,31,31,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.3,0.4,0.0,500,52,52,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.5,0.5,-0.1,1000,21,21,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.5,0.7,0.0,200,8,8,ok,45400,103,45503,2112,2255.0907,0.9101369,0.04641452,0.00226359,514.42254229
0.3,0.8,-0.1,200,28,28,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.3,0.7,-0.1,500,53,53,capped,56736,57,56793,794,3422.5748,1.85424981,0.0139806,0.00100364,577.12440134
0.3,0.4,-0.1,1000,39,39,ok,14,3,17,10,86.809,0.14661233,0.58823529,0.17647059,4.75411254
0.4,0.7,0.0,500,60,60,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
