alpha,beta,gamma,n_a,n_ok,n_capped,n_timeout,timeout_frac,timeout_warning,mean_fitness,std_fitness,mean_mei,std_mei,mean_ncf,std_ncf,mean_dissipation,std_dissipation,pareto_front
0.4,0.7,0.1,500,100,21,0,0.0,False,0.56526058,0.39577749,0.06996447,0.07000842,0.00489757,0.01044606,250.30364017,234.32044163,True
0.4,0.7,0.1,1000,100,9,0,0.0,False,0.38957897,0.2974741,0.08237511,0.06752733,0.0149067,0.01842428,165.09342075,186.10812289,True
0.4,0.8,-0.1,200,93,67,7,0.07,True,1.1748807,0.77534296,0.01498698,0.01237266,0.00077255,0.00073482,428.2389666,250.75969677,True
0.4,0.8,-0.1,500,100,74,0,0.0,False,1.3398376,0.82650727,0.01290301,0.01062795,0.0009261,0.0011205,438.30496031,246.29025594,True
0.4,0.8,-0.1,1000,100,68,0,0.0,False,1.22890777,0.73291091,0.0131937,0.01329138,0.00166853,0.00318192,429.72355996,245.77236252,True
0.4,0.8,0.0,200,94,74,6,0.06,True,1.23298224,0.64554772,0.01701315,0.0101714,0.00071388,0.00061289,477.97026958,218.51212509,True
0.4,0.8,0.0,500,98,76,2,0.02,False,1.41423269,0.71870593,0.01473905,0.01309277,0.00089737,0.00077485,475.55571114,217.56526729,False
0.4,0.8,0.0,1000,100,72,0,0.0,False,1.2824819,0.63984427,0.01561127,0.0160375,0.00184417,0.0022591,464.72048422,219.29043355,False
0.4,0.8,0.1,200,93,72,7,0.07,True,1.26188489,0.75082665,0.01547096,0.00943604,0.00082892,0.00083755,464.05587048,229.03919361,True
0.4,0.8,0.1,500,99,77,1,0.01,False,1.42328973,0.77962947,0.01335877,0.00841779,0.0008907,0.00068273,467.34202157,224.08970695,True
0.4,0.8,0.1,1000,100,71,0,0.0,False,1.31181662,0.68996174,0.01342205,0.01037997,0.00153697,0.00121083,461.35783464,224.49381776,False
0.5,0.4,-0.1,200,100,0,0,0.0,False,0.00832083,0.04810524,0.09364103,0.60825551,0.03076923,0.17148321,1.25726343,1.39043738,True
0.5,0.4,-0.1,500,100,0,0,0.0,False,0.00832083,0.04810524,0.09364103,0.60825551,0.03076923,0.17148321,1.25726343,1.39043738,True
0.5,0.4,-0.1,1000,100,0,0,0.0,False,0.00832083,0.04810524,0.09364103,0.60825551,0.03076923,0.17148321,1.25726343,1.39043738,True
0.5,0.4,0.0,200,100,0,0,0.0,False,0.01505648,0.06255846,0.16248485,0.8437772,0.03716667,0.17663546,1.3784323,1.81495857,True
0.5,0.4,0.0,500,100,0,0,0.0,False,0.01505648,0.06255846,0.16248485,0.8437772,0.03716667,0.17663546,1.3784323,1.81495857,True
0.5,0.4,0.0,1000,100,0,0,0.0,False,0.01505648,0.06255846,0.16248485,0.8437772,0.03716667,0.17663546,1.3784323,1.81495857,True
0.5,0.4,0.1,200,100,0,0,0.0,False,0.01661246,0.0585517,0.16031349,0.58447004,0.04630556,0.19865179,1.38626813,1.37275948,True
0.5,0.4,0.1,500,100,0,0,0.0,False,0.01661246,0.0585517,0.16031349,0.58447004,0.04630556,0.19865179,1.38626813,1.37275948,True
0.5,0.4,0.1,1000,100,0,0,0.0,False,0.01661246,0.0585517,0.16031349,0.58447004,0.04630556,0.19865179,1.38626813,1.37275948,True
0.5,0.5,-0.1,200,100,0,0,0.0,False,0.0623229,0.12154152,0.35376995,1.02655944,0.05018699,0.19684632,2.6271115,2.841567,False
0.5,0.5,-0.1,500,100,0,0,0.0,False,0.0623229,0.12154152,0.35376995,1.02655944,0.05018699,0.19684632,2.6271115,2.841567,False
0.5,0.5,-0.1,1000,100,0,0,0.0,False,0.0623229,0.12154152,0.35376995,1.02655944,0.05018699,0.19684632,2.6271115,2.841567,False
0.5,0.5,0.0,200,100,0,0,0.0,False,0.06721951,0.13033923,0.27960172,0.76705649,0.02584741,0.11582295,2.42674974,2.73099815,True
0.5,0.5,0.0,500,100,0,0,0.0,False,0.06721951,0.13033923,0.27960172,0.76705649,0.02584741,0.11582295,2.42674974,2.73099815,True
0.5,0.5,0.0,1000,100,0,0,0.0,False,0.06721951,0.13033923,0.27960172,0.76705649,0.02584741,0.11582295,2.42674974,2.73099815,True
0.5,0.5,0.1,200,100,0,0,0.0,False,0.07588481,0.12302699,0.29165847,0.63723292,0.04062099,0.14911821,2.74881115,2.76157198,True
0.5,0.5,0.1,500,100,0,0,0.0,False,0.07588481,0.12302699,0.29165847,0.63723292,0.04062099,0.14911821,2.74881115,2.76157198,True
0.5,0.5,0.1,1000,100,0,0,0.0,False,0.07588481,0.12302699,0.29165847,0.63723292,0.04062099,0.14911821,2.74881115,2.76157198,True
0.5,0.6,-0.1,200,100,0,0,0.0,False,0.24132393,0.24992873,0.21911912,0.26759257,0.01443046,0.03940093,23.05815542,45.58046268,True
