x,y,z,phenotype,oxygen,C,b,d,sim_time
-19,-9,-3,surface,1.0,0.0,0.63,0.0,40
-10,-8,-8,surface,0.848343,0.151657,0.52384,0.045497,40
11,6,-16,surface,1.0,0.0,0.77,0.0,40
-10,-13,-10,surface,1.0,0.0,0.77,0.0,40
18,13,-2,surface,1.0,0.0,0.77,0.0,40
5,15,-10,surface,0.857818,0.142182,0.670473,0.042655,40
0,15,-15,surface,1.0,0.0,0.77,0.0,40
-6,7,-12,surface,0.848412,0.151588,0.523889,0.045476,40
-8,-3,16,surface,1.0,0.0,0.77,0.0,40
-4,-17,-10,surface,1.0,0.0,0.63,0.0,40
-9,-16,-8,surface,1.0,0.0,0.77,0.0,40
14,-7,0,surface,1.0,0.0,0.77,0.0,40
-6,16,6,surface,1.0,0.0,0.63,0.0,40
-9,-8,-9,surface,0.854648,0.145352,0.528254,0.043606,40
4,-14,-10,surface,1.0,0.0,0.63,0.0,40
12,-4,5,surface,0.999996,4e-06,0.769997,1e-06,40
-18,-16,1,surface,1.0,0.0,0.63,0.0,40
8,-10,-8,surface,1.0,0.0,0.63,0.0,40
-11,13,4,surface,1.0,0.0,0.63,0.0,40
-9,19,2,surface,1.0,0.0,0.77,0.0,40
-8,8,7,surface,0.844625,0.155375,0.521238,0.046612,40
7,-4,8,surface,0.996905,0.003095,0.627834,0.000928,40
-15,-2,-7,surface,0.994586,0.005414,0.62621,0.001624,40
-8,7,8,surface,0.845078,0.154922,0.661554,0.046477,40
2,-11,-12,surface,1.0,0.0,0.77,0.0,40
0,-6,-15,surface,1.0,0.0,0.77,0.0,40
6,6,-14,surface,0.845272,0.154728,0.66169,0.046418,40
2,-14,-11,surface,1.0,0.0,0.77,0.0,40
3,-3,13,surface,0.999554,0.000446,0.769688,0.000134,40
-8,-8,14,surface,1.0,0.0,0.63,0.0,40
0,19,9,surface,1.0,0.0,0.77,0.0,40
-7,8,8,surface,0.844817,0.155183,0.521372,0.046555,40
5,4,-14,surface,0.845389,0.154611,0.661772,0.046383,40
-4,-11,-9,surface,0.846132,0.153868,0.662292,0.04616,40
-9,-20,-4,surface,1.0,0.0,0.77,0.0,40
5,-11,-11,surface,1.0,0.0,0.63,0.0,40
-3,17,-11,surface,1.0,0.0,0.63,0.0,40
