alpha,beta,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.4,0.5,64,64,ok,0,0,0,0,3.0128,0.0,0.0,0.0,1.0
0.3,0.8,177,177,capped,59779,87,59866,580,3574.0826,2.4596604,0.0096883,0.00145325,595.49633353
0.2,0.7,178,178,capped,61592,147,61739,484,3728.5388,2.82860816,0.00783945,0.00238099,607.30216852
0.2,0.8,116,116,capped,56225,205,56430,428,3441.7313,3.09398767,0.00758462,0.00363282,572.53759685
0.4,0.4,32,32,ok,2,0,2,3,23.3192,0.08326831,1.5,0.0,2.5
0.7,0.4,189,189,ok,0,0,0,0,0.7635,0.0,0.0,0.0,1.0
0.4,0.7,47,47,ok,592,18,610,96,477.6865,0.6322993,0.15737705,0.0295082,32.981127
0.5,0.8,21,21,capped,57945,83,58028,1205,4037.3776,1.09978069,0.02076584,0.00143034,589.6299503
0.6,0.4,192,192,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.6,0.3,197,197,ok,0,0,0,0,1.1955,0.0,0.0,0.0,1.0
0.5,0.4,21,21,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.4,0.7,191,191,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.5,0.5,148,148,ok,0,0,0,0,1.9128,0.0,0.0,0.0,1.0
0.5,0.4,98,98,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.3,0.5,74,74,ok,0,0,0,0,0.8886,0.0,0.0,0.0,1.0
0.5,0.7,6,6,ok,1312,15,1327,212,860.6896,0.4885766,0.15975885,0.01130369,54.50514496
0.6,0.7,145,145,ok,307,2,309,68,310.9093,0.58775366,0.22006472,0.00647249,21.59888641
0.5,0.8,25,25,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.2,0.7,128,128,capped,59417,155,59572,565,3500.736,2.55228821,0.00948432,0.00260189,594.10582849
0.6,0.5,153,153,ok,0,0,0,1,1.6567,0.0,0.0,0.0,1.0
0.4,0.3,77,77,ok,0,0,0,0,2.2858,0.0,0.0,0.0,1.0
0.4,0.4,163,163,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.2,0.4,191,191,ok,0,1,1,2,9.5891,0.0,2.0,1.0,6.0
0.7,0.3,157,157,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.3,0.4,174,174,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.6,0.5,11,11,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.2,0.7,170,170,ok,0,0,0,0,1.0427,0.0,0.0,0.0,1.0
0.6,0.8,174,174,capped,54227,9,54236,1701,2956.6579,1.01835873,0.03136293,0.00016594,568.78693039
0.6,0.6,65,65,ok,206,3,209,107,466.1966,0.21346553,0.51196172,0.01435407,20.78589947
0.3,0.4,47,47,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.6,0.4,190,190,ok,0,0,0,0,1.4782,0.0,0.0,0.0,1.0
0.2,0.4,73,73,ok,80,40,120,35,284.9293,0.20797884,0.29166667,0.33333333,16.12442661
0.2,0.8,50,50,capped,62012,131,62143,414,3995.9203,3.01922724,0.00666205,0.00210804,609.07015023
0.4,0.6,12,12,ok,227,10,237,50,318.8517,0.47461981,0.21097046,0.04219409,18.60038709
0.5,0.4,36,36,ok,0,0,0,0,1.1584,0.0,0.0,0.0,1.0
0.3,0.7,136,136,capped,57785,134,57919,1404,3431.8254,1.11954641,0.02424075,0.00231358,591.41721291
0.3,0.3,83,83,ok,0,5,5,1,23.0559,0.0,0.2,1.0,2.7006326
0.6,0.5,34,34,ok,0,0,0,0,2.4431,0.0,0.0,0.0,1.0
0.7,0.5,40,40,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.4,0.3,170,170,ok,0,0,0,0,1.0427,0.0,0.0,0.0,1.0
0.4,0.3,108,108,ok,0,0,0,0,7.037,0.0,0.0,0.0,1.0
0.3,0.5,160,160,ok,156,25,181,44,266.7168,0.40617369,0.24309392,0.13812155,17.4215142
0.5,0.7,14,14,ok,697,16,713,138,715.598,0.40924815,0.19354839,0.02244039,37.48106959
0.4,0.3,95,95,ok,0,0,0,1,11.5129,0.0,0.0,0.0,1.0
0.3,0.5,195,195,ok,63,10,73,20,139.2129,0.37712028,0.2739726,0.1369863,9.73654379
0.6,0.4,70,70,ok,0,0,0,2,1.6463,0.0,0.0,0.0,1.0
0.3,0.4,189,189,ok,0,0,0,0,4.3592,0.0,0.0,0.0,1.0
0.5,0.7,144,144,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.4,0.4,87,87,ok,0,0,0,0,2.8392,0.0,0.0,0.0,1.0
0.3,0.3,168,168,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.7,0.8,21,21,ok,42642,2,42644,2938,2867.9995,0.48940762,0.06889598,4.69e-05,502.11364891
0.5,0.5,65,65,ok,30,3,33,19,87.1663,0.28921829,0.57575758,0.09090909,6.80604556
0.6,0.8,7,7,timeout,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.4,0.7,194,194,ok,46980,30,47010,1670,2999.256,0.88496524,0.03552436,0.00063816,519.40382257
0.2,0.8,102,102,capped,63629,120,63749,424,3679.1488,3.30047504,0.00665108,0.00188238,619.3729255
0.4,0.3,171,171,ok,0,0,0,0,3.38,0.0,0.0,0.0,1.0
0.5,0.8,41,41,ok,47510,32,47542,1365,2911.4192,1.11389091,0.02871146,0.00067309,519.89026908
0.4,0.5,192,192,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.6,0.5,4,4,ok,5,0,5,5,32.2067,0.14785444,1.0,0.0,2.25052716
0.3,0.5,71,71,ok,22,14,36,19,101.8763,0.18146906,0.52777778,0.38888889,8.90301189
